Experiment 6 - Refraction of Light,,,,
Results and Analysis sin i° vs sin r°,,,,
No. of pts,i,r,sin i,sin r
1,0.0,0.0,0.0,0.0
2,10.0,6.5,-0.5,0.2
3,20.0,12.0,0.9,-0.5
4,30.0,18.5,-1.0,-0.3
5,40.0,24.5,0.7,-0.6
6,50.0,30.0,-0.3,-1.0
7,60.0,34.5,-0.3,0.1
8,70.0,38.0,0.8,0.3
9,80.0,39.5,-1.0,1.0
,,,,
Glass to Air,,,,
No. of pts,i,r,sin i,sin r
1,0.0,0.0,0.0,0.0
2,5.0,7.5,-1.0,0.9
3,10.0,15.5,-0.5,0.2
4,15.0,23.0,0.7,-0.8
5,20.0,30.5,0.9,-0.8
6,25.0,38.5,-0.1,0.7
7,30.0,47.5,-1.0,-0.4
8,35.0,57.5,-0.4,0.8
9,40.0,71.0,0.7,1.0
,,,,
Refraction: Critical Angle,,,,
Incident Medium,Refractive Medium,Critical Angle (°),,
Water (n = 1.33),Air (n = 1.00),49.5,,
Oil (n = 1.47),Air (n = 1.00),44,,
Air (n = 1.00),Oil (n = 1.47),--,,
Water (n = 1.33),Oil (n = 1.47),38,,
Oil (n = 1.47),Water (n = 1.33),33,,
Polystyrene (n = 1.59),Air (n = 1.00),40,,
Polystyrene (n = 1.59),Oil (n = 1.47),39,,
Oil (n = 1.47),Polystyrene (n = 1.59),45,,